example_id ,true_sentence                                                 ,false_sentence                                                 ,token_probability_true_sentence                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,token_probability_false_sentence
         0 ,Macron is the president of France                             ,Macron is the president of Germany                             ,"{""L14_H22"": 0.29296875, ""L2_H16"": 0.423828125, ""L5_H8"": 0.11572265625, ""L14_H2"": 0.042236328125, ""L17_H9"": 0.07470703125, ""L24_H5"": 0.021240234375, ""L17_H0"": 0.255859375, ""L2_H19"": 0.0830078125, ""L21_H20"": 0.0185546875, ""L18_H11"": 0.056884765625, ""L17_H2"": 0.041748046875, ""L2_H17"": 0.2734375, ""L10_H3"": 0.06298828125, ""L14_H1"": 0.048828125}"                                                                                                                                                                                                                                                                                                                       ,"{""L14_H22"": 0.302734375, ""L2_H16"": 0.33984375, ""L5_H8"": 0.67578125, ""L14_H2"": 0.03955078125, ""L17_H9"": 0.1279296875, ""L24_H5"": 0.01397705078125, ""L17_H0"": 0.400390625, ""L2_H19"": 0.173828125, ""L21_H20"": 0.00970458984375, ""L18_H11"": 0.0849609375, ""L17_H2"": 0.09619140625, ""L2_H17"": 0.06494140625, ""L10_H3"": 0.83203125, ""L14_H1"": 0.390625}"
         1 ,The Earth is round                                            ,The Earth is flat                                              ,"{""L14_H22"": 0.5234375, ""L17_H9"": 0.392578125, ""L2_H16"": 0.58984375, ""L18_H10"": 0.421875, ""L5_H8"": 0.095703125, ""L23_H10"": 0.4140625, ""L21_H20"": 0.0458984375, ""L2_H19"": 0.1298828125, ""L18_H11"": 0.244140625, ""L17_H0"": 0.58203125, ""L17_H2"": 0.25390625, ""L24_H5"": 0.1396484375, ""L14_H10"": 0.3828125}"                                                                                                                                                                                                                                                                                                                                                                       ,"{""L14_H22"": 0.23046875, ""L17_H9"": 0.216796875, ""L2_H16"": 0.2392578125, ""L18_H10"": 0.043701171875, ""L5_H8"": 0.482421875, ""L23_H10"": 0.08349609375, ""L21_H20"": 0.01129150390625, ""L2_H19"": 0.19921875, ""L18_H11"": 0.07275390625, ""L17_H0"": 0.30078125, ""L17_H2"": 0.08447265625, ""L24_H5"": 0.04443359375, ""L14_H10"": 0.365234375}"
         2 ,Boiling degree of water in Celsius is 100                     ,Boiling degree of water in Celsius is 50                       ,"{""L14_H22"": 0.05419921875, ""L2_H16"": 0.0005340576171875, ""L14_H2"": 0.5625, ""L5_H8"": 0.0240478515625, ""L17_H9"": 0.06640625, ""L24_H5"": 0.0167236328125, ""L21_H20"": 0.0220947265625, ""L8_H2"": 0.043212890625, ""L18_H11"": 0.16796875, ""L2_H17"": 0.01214599609375, ""L18_H10"": 0.28125, ""L17_H0"": 0.392578125, ""L2_H19"": 0.00189971923828125, ""L24_H3"": 0.0152587890625, ""L17_H2"": 0.1796875, ""L10_H3"": 0.022216796875, ""L16_H22"": 0.248046875, ""L13_H16"": 0.09814453125, ""L24_H4"": 0.00860595703125, ""L5_H6"": 0.068359375, ""L23_H10"": 0.03955078125}"                                                                                                               ,"{""L14_H22"": 0.1083984375, ""L2_H16"": 0.000377655029296875, ""L14_H2"": 0.06005859375, ""L5_H8"": 0.0830078125, ""L17_H9"": 0.6640625, ""L24_H5"": 0.0128173828125, ""L21_H20"": 0.01007080078125, ""L8_H2"": 0.1005859375, ""L18_H11"": 0.06640625, ""L2_H17"": 0.00360107421875, ""L18_H10"": 0.08740234375, ""L17_H0"": 0.47265625, ""L2_H19"": 0.00604248046875, ""L24_H3"": 0.005950927734375, ""L17_H2"": 0.1435546875, ""L10_H3"": 0.33203125, ""L16_H22"": 0.53125, ""L13_H16"": 0.373046875, ""L24_H4"": 0.002105712890625, ""L5_H6"": 0.0169677734375, ""L23_H10"": 0.04150390625}"
         3 ,The sun rises in the east                                     ,The sun rises in the west                                      ,"{""L14_H22"": 0.41015625, ""L5_H8"": 0.078125, ""L2_H16"": 0.4453125, ""L17_H9"": 0.0751953125, ""L18_H11"": 0.1640625, ""L18_H10"": 0.228515625, ""L2_H19"": 0.06689453125, ""L16_H22"": 0.349609375, ""L21_H20"": 0.019775390625, ""L17_H0"": 0.64453125, ""L23_H10"": 0.2041015625, ""L18_H1"": 0.27734375, ""L8_H2"": 0.39453125, ""L17_H2"": 0.1328125, ""L24_H5"": 0.146484375, ""L10_H3"": 0.034423828125, ""L14_H2"": 0.1025390625}"                                                                                                                                                                                                                                                             ,"{""L14_H22"": 0.40234375, ""L5_H8"": 0.486328125, ""L2_H16"": 0.36328125, ""L17_H9"": 0.1201171875, ""L18_H11"": 0.23046875, ""L18_H10"": 0.263671875, ""L2_H19"": 0.2001953125, ""L16_H22"": 0.56640625, ""L21_H20"": 0.00885009765625, ""L17_H0"": 0.28125, ""L23_H10"": 0.1328125, ""L18_H1"": 0.330078125, ""L8_H2"": 0.359375, ""L17_H2"": 0.1806640625, ""L24_H5"": 0.10986328125, ""L10_H3"": 0.7265625, ""L14_H2"": 0.1806640625}"
         4 ,Grass is green                                                ,Grass is purple                                                ,"{""L14_H22"": 0.67578125, ""L2_H16"": 0.50390625, ""L5_H8"": 0.15234375, ""L2_H19"": 0.11572265625, ""L17_H9"": 0.1484375, ""L24_H5"": 0.0654296875, ""L17_H2"": 0.050537109375, ""L17_H0"": 0.58984375, ""L14_H2"": 0.35546875, ""L18_H11"": 0.18359375, ""L21_H20"": 0.01318359375, ""L14_H16"": 0.052490234375, ""L8_H2"": 0.36328125, ""L2_H15"": 0.03759765625}"                                                                                                                                                                                                                                                                                                                                    ,"{""L14_H22"": 0.2265625, ""L2_H16"": 0.310546875, ""L5_H8"": 0.484375, ""L2_H19"": 0.27734375, ""L17_H9"": 0.072265625, ""L24_H5"": 0.043701171875, ""L17_H2"": 0.0908203125, ""L17_H0"": 0.322265625, ""L14_H2"": 0.2021484375, ""L18_H11"": 0.1123046875, ""L21_H20"": 0.01348876953125, ""L14_H16"": 0.64453125, ""L8_H2"": 0.291015625, ""L2_H15"": 0.038330078125}"
         5 ,The Eiffel Tower is made of iron                              ,The Eiffel Tower is made of wood                               ,"{""L14_H22"": 0.162109375, ""L2_H16"": 0.34765625, ""L5_H8"": 0.15234375, ""L24_H5"": 0.07568359375, ""L21_H20"": 0.0208740234375, ""L17_H9"": 0.203125, ""L17_H2"": 0.053955078125, ""L2_H19"": 0.08935546875, ""L24_H3"": 0.0238037109375, ""L18_H11"": 0.09814453125, ""L14_H2"": 0.041015625, ""L23_H10"": 0.055908203125, ""L2_H17"": 0.232421875}"                                                                                                                                                                                                                                                                                                                                                 ,"{""L14_H22"": 0.12890625, ""L2_H16"": 0.337890625, ""L5_H8"": 0.609375, ""L24_H5"": 0.031494140625, ""L21_H20"": 0.0101318359375, ""L17_H9"": 0.0830078125, ""L17_H2"": 0.099609375, ""L2_H19"": 0.1884765625, ""L24_H3"": 0.01556396484375, ""L18_H11"": 0.099609375, ""L14_H2"": 0.0252685546875, ""L23_H10"": 0.0361328125, ""L2_H17"": 0.06787109375}"
         6 ,The number of colours in a rainbow is 7                       ,The number of colours in a rainbow is 5                        ,"{""L14_H22"": 0.0252685546875, ""L2_H16"": 0.0003032684326171875, ""L5_H8"": 0.01397705078125, ""L17_H9"": 0.10595703125, ""L14_H2"": 0.3828125, ""L2_H19"": 0.00518798828125, ""L21_H20"": 0.01171875, ""L18_H11"": 0.0732421875, ""L2_H17"": 0.01470947265625, ""L17_H2"": 0.2060546875, ""L24_H5"": 0.0238037109375}"                                                                                                                                                                                                                                                                                                                                                                                 ,"{""L14_H22"": 0.0615234375, ""L2_H16"": 0.000377655029296875, ""L5_H8"": 0.07861328125, ""L17_H9"": 0.4765625, ""L14_H2"": 0.11181640625, ""L2_H19"": 0.0169677734375, ""L21_H20"": 0.010498046875, ""L18_H11"": 0.041015625, ""L2_H17"": 0.00543212890625, ""L17_H2"": 0.181640625, ""L24_H5"": 0.0223388671875}"
         7 ,The coldest desert is Antarctica                              ,The coldest desert is Sahara                                   ,"{""L14_H22"": 0.130859375, ""L2_H16"": 0.462890625, ""L5_H8"": 0.083984375, ""L14_H2"": 0.25390625, ""L2_H19"": 0.0751953125, ""L24_H5"": 0.05126953125, ""L17_H2"": 0.046630859375, ""L18_H11"": 0.0732421875, ""L21_H20"": 0.01123046875, ""L23_H10"": 0.09326171875, ""L17_H9"": 0.08544921875}"                                                                                                                                                                                                                                                                                                                                                                                                      ,"{""L14_H22"": 0.14453125, ""L2_H16"": 0.263671875, ""L5_H8"": 0.27734375, ""L14_H2"": 0.12158203125, ""L2_H19"": 0.1689453125, ""L24_H5"": 0.030517578125, ""L17_H2"": 0.07080078125, ""L18_H11"": 0.076171875, ""L21_H20"": 0.015869140625, ""L23_H10"": 0.08544921875, ""L17_H9"": 0.10205078125}"
         8 ,The largest planet in our solar system is Jupiter             ,The largest planet in our solar system is Saturn               ,"{""L14_H22"": 0.375, ""L2_H16"": 0.484375, ""L5_H8"": 0.10791015625, ""L21_H20"": 0.0040283203125, ""L14_H2"": 0.1376953125, ""L24_H5"": 0.01434326171875, ""L17_H9"": 0.00689697265625, ""L18_H11"": 0.04296875, ""L18_H10"": 0.039794921875, ""L2_H19"": 0.048583984375, ""L17_H2"": 0.021484375, ""L24_H4"": 0.013427734375, ""L2_H17"": 0.2734375, ""L18_H1"": 0.1728515625, ""L24_H3"": 0.01080322265625, ""L16_H22"": 0.447265625, ""L23_H10"": 0.03759765625}"                                                                                                                                                                                                                                    ,"{""L14_H22"": 0.3046875, ""L2_H16"": 0.2470703125, ""L5_H8"": 0.353515625, ""L21_H20"": 0.000667572021484375, ""L14_H2"": 0.036376953125, ""L24_H5"": 0.0034027099609375, ""L17_H9"": 0.01239013671875, ""L18_H11"": 0.0115966796875, ""L18_H10"": 0.0101318359375, ""L2_H19"": 0.15625, ""L17_H2"": 0.009765625, ""L24_H4"": 0.002685546875, ""L2_H17"": 0.08203125, ""L18_H1"": 0.0159912109375, ""L24_H3"": 0.0030670166015625, ""L16_H22"": 0.4765625, ""L23_H10"": 0.0040283203125}"
        10 ,Dogs are animals                                              ,Dogs are plants                                                ,"{""L14_H22"": 0.3828125, ""L2_H16"": 0.1875, ""L5_H8"": 0.09619140625, ""L2_H19"": 0.07421875, ""L23_H10"": 0.16015625, ""L21_H18"": 0.1689453125, ""L14_H2"": 0.1494140625, ""L17_H2"": 0.10400390625, ""L21_H20"": 0.123046875, ""L13_H13"": 0.0016021728515625, ""L18_H11"": 0.1591796875, ""L17_H9"": 0.06591796875, ""L26_H9"": 0.08935546875}"                                                                                                                                                                                                                                                                                                                                                     ,"{""L14_H22"": 0.27734375, ""L2_H16"": 0.5703125, ""L5_H8"": 0.5, ""L2_H19"": 0.171875, ""L23_H10"": 0.061767578125, ""L21_H18"": 0.078125, ""L14_H2"": 0.1103515625, ""L17_H2"": 0.08203125, ""L21_H20"": 0.01348876953125, ""L13_H13"": 0.0002918243408203125, ""L18_H11"": 0.06396484375, ""L17_H9"": 0.07421875, ""L26_H9"": 0.04248046875}"
